                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.1538,                 1.1636,                0.83334,                0.76203,                 0.5073,                0.56291,                0.18839,                  1.915,                 1.0224,                0.78545,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.2521,                 1.1788,                0.84683,                0.73024,                0.53604,                0.59615,                0.23536,                 1.9661,                 1.0072,                0.78473,               0.000911,               0.000911,               0.000911
                     57,                 2.1889,                 1.0917,                 0.8333,                0.80945,                 0.5047,                0.56554,                0.19784,                  2.224,                 1.1309,                0.78781,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.3096,                 1.3378,                0.82798,                0.57881,                0.46263,                0.47982,                0.18798,                 2.2145,                 1.1989,                0.78783,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.1992,                 1.1691,                0.82686,                0.68187,                0.57299,                0.57872,                 0.1875,                  2.212,                 1.0861,                 0.7906,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.1131,                 1.0816,                0.83811,                0.76101,                0.46535,                0.55054,                0.21113,                 2.0011,                 1.1436,                0.79517,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1695,                 1.0506,                 0.8269,                 0.6868,                0.49941,                0.53819,                0.21053,                 2.0837,                 1.0309,                0.78895,               0.000812,               0.000812,               0.000812
                     62,                  2.113,                 1.0167,                0.82971,                 0.6304,                0.50665,                0.54521,                0.19311,                 2.1389,                  1.096,                0.78803,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2151,                 1.0885,                0.82539,                0.55591,                0.50495,                0.45674,                0.18993,                 2.0953,                 1.1397,                0.79549,              0.0007724,              0.0007724,              0.0007724
                     64,                  2.107,                 1.0496,                0.82237,                0.63382,                0.51485,                0.56499,                0.20505,                  2.027,                 1.1271,                0.79334,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.0576,                0.99688,                0.84454,                0.68294,                0.44554,                0.51704,                0.18593,                 2.2635,                 1.1143,                 0.7988,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.1951,                 1.0656,                0.82775,                 0.8127,                0.45545,                0.55559,                0.20649,                  2.094,                 1.1218,                0.80045,               0.000713,               0.000713,               0.000713
                     67,                  2.097,                 1.0471,                0.83174,                0.74325,                0.46535,                0.56457,                0.19551,                  2.119,                 1.0413,                0.79141,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.1656,                 1.0125,                0.83486,                0.73646,                0.55446,                0.58284,                0.22943,                  1.878,                 1.0015,                0.79015,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.1274,                 1.0664,                0.82618,                0.69359,                0.47525,                0.58405,                 0.2379,                 1.9151,                0.98263,                0.79143,              0.0006536,              0.0006536,              0.0006536
                     70,                  2.087,                0.99686,                0.83436,                 0.6734,                0.48998,                0.57869,                0.22559,                 2.0886,                 1.0044,                0.78999,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.0611,                0.98755,                 0.8408,                0.90187,                0.46535,                0.62443,                0.24098,                 1.9337,                0.98085,                0.78915,               0.000614,               0.000614,               0.000614
                     72,                 2.0314,                 1.0716,                0.82127,                 0.8318,                0.53865,                0.63201,                0.22491,                  2.109,                 1.0251,                0.78744,              0.0005942,              0.0005942,              0.0005942
                     73,                  2.113,                 1.0353,                0.83542,                 0.8465,                0.54601,                0.66559,                  0.238,                 1.9818,                0.96617,                0.78763,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0486,                0.97707,                0.82726,                0.84153,                0.56436,                0.65118,                0.24568,                 1.8853,                0.97119,                0.79162,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.0428,                0.98461,                0.81783,                0.83784,                0.50495,                0.62311,                0.23827,                 1.8818,                0.97914,                0.78427,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.0708,                 1.0708,                0.83215,                0.74964,                0.53465,                0.56555,                0.22291,                 1.8675,                0.99296,                 0.7859,               0.000515,               0.000515,               0.000515
                     77,                 2.1009,                0.95395,                0.83324,                0.81329,                0.54455,                0.65922,                0.26064,                 1.9054,                0.99508,                0.78533,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.0607,                0.96679,                0.83336,                0.81543,                0.51485,                0.64463,                0.24258,                 2.0744,                 1.0991,                0.78448,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.0503,                0.95554,                0.81474,                0.78406,                0.53928,                0.65341,                0.23679,                 2.2184,                 1.0656,                 0.7915,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9839,                0.94082,                0.83392,                0.75447,                0.51723,                0.61473,                0.24382,                 2.0054,                 1.0083,                0.78459,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.8644,                0.90688,                0.81678,                0.80622,                0.49433,                0.59468,                0.22963,                 2.1475,                 1.0318,                0.78579,               0.000416,               0.000416,               0.000416
                     82,                 2.0668,                0.92914,                0.83073,                0.86882,                0.52461,                0.63251,                0.24864,                 2.0315,                0.91934,                0.79022,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.966,                 1.0014,                0.82895,                0.80109,                0.55829,                0.65464,                0.24318,                  1.927,                0.92659,                0.78722,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9716,                 1.0067,                0.83994,                0.71493,                0.52475,                0.59382,                0.24445,                 1.9086,                0.93205,                0.79179,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9278,                0.86081,                0.83056,                0.74322,                0.54449,                0.60869,                0.22556,                 2.1848,                0.95148,                0.79369,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.0408,                0.96379,                0.84381,                 0.7996,                0.51358,                0.62916,                0.23453,                 2.0755,                 1.0075,                0.79177,               0.000317,               0.000317,               0.000317
                     87,                 2.0301,                0.87213,                0.83593,                 0.8045,                0.48896,                0.63435,                 0.2538,                 2.1054,                 1.0573,                0.78959,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.9804,                0.92513,                0.81322,                0.79943,                0.49505,                0.61302,                0.24682,                 2.1086,                  1.052,                0.78854,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.9292,                0.87427,                0.82924,                0.76944,                0.49564,                0.61116,                0.23309,                 2.0938,                 1.0313,                0.79088,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9642,                0.92978,                0.82893,                0.71717,                0.45193,                0.57834,                0.22952,                 2.1501,                 1.0027,                0.78838,              0.0002378,              0.0002378,              0.0002378
                     91,                    1.9,                0.97561,                0.82769,                0.75557,                0.54455,                0.66811,                0.24726,                 2.1318,                0.94647,                0.78705,               0.000218,               0.000218,               0.000218
                     92,                 1.8506,                0.87638,                 0.8213,                0.76352,                0.51485,                0.61541,                 0.2565,                 2.1141,                0.98368,                0.78741,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7887,                0.82113,                0.82644,                0.72973,                0.48515,                0.58795,                 0.2458,                 2.1775,                 1.0608,                0.78769,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.8575,                0.82298,                0.82294,                0.75755,                0.51485,                0.61393,                 0.2556,                 2.0923,                 1.0005,                0.78244,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8479,                0.83511,                0.82922,                0.79197,                0.52772,                 0.6617,                0.26092,                 1.9995,                0.92813,                0.78501,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.8455,                 0.8683,                0.80467,                0.82306,                0.50665,                 0.6445,                  0.261,                 2.0352,                0.91604,                0.78588,               0.000119,               0.000119,               0.000119
                     97,                 1.8362,                0.89251,                 0.8233,                0.83578,                0.56436,                0.67737,                0.27246,                 2.0404,                0.89286,                0.78449,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.8683,                0.82047,                0.82644,                0.80237,                0.56278,                0.66687,                0.27152,                 2.0136,                0.88542,                0.78293,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7901,                0.82117,                 0.8242,                0.79877,                0.55025,                0.68183,                0.28053,                 2.0262,                0.89375,                0.78428,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8052,                0.85425,                 0.8333,                0.76506,                0.51588,                0.65469,                0.28501,                 1.9906,                0.91055,                0.78458,               3.98e-05,               3.98e-05,               3.98e-05
